City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
Madison,WI,Light,1997-09-30,22:00,Tuesday,30,09
San Francisco,CA,Triangle,1997-09-28,23:15,Sunday,28,09
Egan,SD,Other,1997-09-27,23:00,Saturday,27,09
Crestwood,KY,Disk,1997-09-27,05:00,Saturday,27,09
Clearfield,UT,Triangle,1997-09-25,22:00,Thursday,25,09
Muskegon,MI,Disk,1997-09-24,14:30,Wednesday,24,09
Brewster,NY,Triangle,1997-09-23,22:30,Tuesday,23,09
Rhinebeck (south of),NY,Triangle,1997-09-23,20:00,Tuesday,23,09
Hyde Park,VT,Fireball,1997-09-23,20:00,Tuesday,23,09
Denison,IA,Disk,1997-09-23,19:00,Tuesday,23,09
Solomons Island,MD,Disk,1997-09-22,20:00,Monday,22,09
Palo,MI,Cigar,1997-09-22,14:00,Monday,22,09
St. Louis,MO,Other,1997-09-22,03:00,Monday,22,09
Manoa Valley (Honolulu),HI,Disk,1997-09-21,14:00,Sunday,21,09
Poway,CA,Triangle,1997-09-20,22:15,Saturday,20,09
Crescent City (80 miles west of),CA,Disk,1997-09-19,22:00,Friday,19,09
Orland Park,IL,Rectangle,1997-09-19,05:40,Friday,19,09
West Manchester,OH,Changing,1997-09-18,04:15,Thursday,18,09
Delilah Lookout (Sequoia N F),CA,Disk,1997-09-17,18:00,Wednesday,17,09
Minneapolis,MN,Other,1997-09-16,19:00,Tuesday,16,09
Woodmont,CT,Disk,1997-09-16,04:00,Tuesday,16,09
Houston,TX,Disk,1997-09-15,00:00,Monday,15,09
Woodstock,CT,Sphere,1997-09-15,22:30,Monday,15,09
West Milton (north of),OH,Light,1997-09-15,22:00,Monday,15,09
Chicago,IL,Light,1997-09-15,21:00,Monday,15,09
Santa Fe,NM,Light,1997-09-15,20:00,Monday,15,09
Salem,OR,Light,1997-09-15,20:00,Monday,15,09
Kent,WA,Sphere,1997-09-15,20:00,Monday,15,09
Angola,IN,Circle,1997-09-15,20:00,Monday,15,09
Wedgefield,SC,Triangle,1997-09-15,19:00,Monday,15,09
